location_PK,Division,Longitude,Latitude
3863,D51,-79.37452691,43.65706649
3864,D51,-79.38201616,43.6683485
3865,D32,-79.40587308,43.74037772
3866,D42,-79.31772054,43.78174398
3867,D31,-79.5748592,43.7623417
3868,D32,-79.39388252,43.77730458
3869,D42,-79.21665909,43.80176064
3870,D43,-79.23591264,43.71592917
3871,D54,-79.346226,43.67866925
3872,D43,-79.23832126,43.73885196
3873,D53,-79.38686317,43.68015045
3874,D13,-79.44902647,43.70055293
3875,D32,-79.44147011,43.77492542
3876,D41,-79.26922969,43.71279338
3877,D41,-79.29423656,43.70743755
3878,D42,-79.28145494,43.78473179
3879,D32,-79.41263324,43.78133687
3880,D41,-79.25647668,43.73074594
3881,D22,-79.5434554,43.67199709
3882,D42,-79.17842812,43.80453574
3883,D43,-79.21634609,43.78636198
3884,D31,-79.53317743,43.72134047
3885,D53,-79.38956542,43.72358235
3886,D33,-79.33872763,43.76289207
3887,D43,-79.16793084,43.79713562
3888,D32,-79.4404559,43.74667365
3889,D42,-79.31614533,43.79229984
3890,D53,-79.37742555,43.70847241
3891,D23,-79.60751813,43.74428237
3892,D51,-79.37016364,43.6456614
3893,D31,-79.5276421,43.7166963
3894,D23,-79.58931312,43.7584621
3895,D12,-79.50022303,43.71026796
3896,D23,-79.60903121,43.75368253
3897,D53,-79.37960262,43.71052702
3898,D43,-79.14900892,43.7834615
3899,D12,-79.5181606,43.70782442
3900,D31,-79.50024964,43.73863061
3901,D12,-79.45997962,43.67419535
3902,D13,-79.43873287,43.67892311
3903,D32,-79.4020552,43.73343985
3904,D14,-79.40575416,43.6446926
3905,D43,-79.1916527,43.76720202
3906,D22,-79.51904513,43.60044151
3907,D12,-79.48976313,43.68476677
3908,D11,-79.44395755,43.65808981
3909,D41,-79.3021294,43.76557943
3910,D33,-79.36247512,43.81008779
3911,D42,-79.28070033,43.79530673
3912,D42,-79.31697425,43.78853694
3913,D31,-79.49905341,43.7571368
3914,D42,-79.31377567,43.79936192
3915,D32,-79.4043303,43.76828763
3916,D22,-79.51510753,43.68055199
